product_id,Product Name,Batch,Checker,0
6105,Daging Shortplate Slice Import Astro Goods 500 gram,Split Hub,Aman,
6111,Cumi Sero - Astro Goods 500 gram,Split Hub,Aman,
6136,Walls Cornetto Mini Disc Chocolate and Tiramisu 12 x 28 ml 336 ml,Split Hub,Aman,
6137,Walls Cornetto Mini Oreo Ice Cream 12 x 28 ml 336 ml,Split Hub,Aman,
6138,Walls Neopolitana 3in1 Tube Ice Cream - Es Krim Walls 350 ml,Split Hub,Aman,
6251,Kin Bulgarian Black Yogurt Drink 200 ml,Split Hub,Aman,
6494,Meg Processed Cream Cheese 500 gram,Split Hub,Aman,
6506,Ikan Gurame Bersih Utuh Astro Basics 450 gram,Split Hub,Aman,
6508,Ikan Nila Merah Bersih Utuh Astro Basics 480 gram,Split Hub,Aman,
6511,Ikan Balita Mas Astro Basics 200 gram,Split Hub,Aman,
6512,SAU Saikoro Now 500 gram,Split Hub,Aman,
6583,Diamond Ice Cream Chocolate/Es Krim 700 ml,Split Hub,Aman,
6584,Diamond Ice Cream Durian/Es Krim 700 ml,Split Hub,Aman,
6585,Diamond Ice Cream Vanilla 700 ml,Split Hub,Aman,
6586,Diamond Ice Cream Neapolitan/Es Krim 700 ml,Split Hub,Aman,
6858,Sumber Selera Bakso SB Serbaguna 50 pcs 650 gram,Split Hub,Aman,
6862,Hanzel Smoked Beef 200 gram,Split Hub,Aman,
7661,Walls Feast Pop Vanilla & Caramel 64 ml,Split Hub,Aman,
8363,Walls Magnum New Mini Mix 270 ml,Split Hub,Aman,
8461,Greenfields Pouch Mango Yogurt 110 gram,Split Hub,Aman,
8511,Paha Ayam Bawah 4-5 Potong Sreeya 450 gram,Split Hub,Aman,
8512,Paha Ayam Atas Sreeya 450-550gram,Split Hub,Aman,
8521,Ayam Broiler Potong 10 Sreeya 900-1000gram,Split Hub,Aman,
8522,Sayap Ayam Utuh Sreeya Chicken Wings 450 - 550gram,Split Hub,Aman,
8540,Greenfields Pouch Strawberry Yogurt 110 gram,Split Hub,Aman,
8541,Greenfields Pouch Original Yogurt 110 gram,Split Hub,Aman,
8542,Greenfields Pouch Blueberry Yogurt 110 gram,Split Hub,Aman,
8757,Puck Cream Cheese Spread 140gr/Keju Oles 140 gram,Split Hub,Aman,
8758,Puck Cream Cheese Sticks 6x18gr/Krim Keju,Split Hub,Aman,
8863,Barnardi Smoked Beef Bulat 250 gram,Split Hub,Aman,
8894,Aice Histeria Ice Cream 70 ml,Split Hub,Aman,
8933,Belfoods Crunchy Nugget 500 gram,Split Hub,Aman,
8934,Bonanza Bakso Sapi Gold 500 gram,Split Hub,Aman,
9068,Kanzler Bockwurst Sausages 360 gram,Split Hub,Aman,
9735,Kanzler Singles Bakso Original Ready to Eat 48 gram,Split Hub,Aman,
9938,Daging Oseng Import Astro Basics 250 gram,Split Hub,Aman,
9939,Daging Sop Import Astro Basics 500 gram,Split Hub,Aman,
9940,Daging Empal Import Astro Basics 500 gram,Split Hub,Aman,
10034,Tasty Fries Shoestring Plain French Fries 900 gram,Split Hub,Aman,
14264,Kanzler Singles Gochujang Ready to Eat Sausages,Split Hub,Aman,
14265,Kanzler Cheese Bratwurst Sausages 360 gram,Split Hub,Aman,
14267,Cimory Squeeze Brown Sugar Yogurt 120 ml,Split Hub,Aman,
20630,Ikan Gindara Fillet Steak 200 gram,Split Hub,Aman,
20631,Ikan Kakap Merah Fillet 500 gram,Split Hub,Aman,
20996,Kanzler Singles Bakso Hot Ready to Eat 55 gram,Split Hub,Aman,
20997,Cimory Yogurt Drink Lychee 240 ml,Split Hub,Aman,
21051,Kanzler Beef Wiener Sosis/Sausage 360 gram,Split Hub,Aman,
21052,Kanzler Singles Mini Sausages 60 gram,Split Hub,Aman,
21053,Anchor Keju Block Cheddar/Keju 150 gram,Split Hub,Aman,
21492,Dada Ayam Boneless (BSB) Sreeya 450 - 550gram,Split Hub,Aman,
21494,Paha Ayam Boneless (BSL) Sreeya 450 - 550 gram,Split Hub,Aman,
21809,Golden Farm Potato Nugget French Fries 750 gram,Split Hub,Aman,
21814,Paru Rebus Slice Import Astro Basics 250 gram,Split Hub,Aman,
21908,Tobiko Orange/Telur Ikan Terbang/Flying Fish Roe 100 gram,Split Hub,Aman,
21909,Ikan Capelin Komochi Shishamo 170 gram,Split Hub,Aman,
