Product ID,product_name,l1_category_name,l2_category_name,business_tagging,primary_vendor_name,Ship Date,Batch,Yes,Check
11620,SoKlin Softergent Korean Camellia Deterjen Bubuk 720 gram,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
20942,SoKlin Softergent Lavender & lily Deterjen Bubuk Bag 1500 gram,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
11600,SoKlin Softergent Magniloa & Berries Deterjen Bubuk 720 gram,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
20939,SoKlin Softergent Magnolia & Berries Deterjen Bubuk Bag 1500 gram,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
31428,SoKlin Softergent Magnolia & Berries Deterjen Bubuk Bag 2700 gram,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
20941,SoKlin Softergent Peony & Rose Deterjen Bubuk Bag 1500 gram,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
1900,SoKlin Softergent Pink Deterjen Bubuk 770 gram,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 09,Yes,Dry
1568,SoKlin Softergent Purple Deterjen Bubuk 770 gram,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 09,Yes,Dry
1565,SoKlin Softergent Sakura Deterjen Bubuk 720 gram,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
29585,SoKlin Softergent Sakura Deterjen Bubuk Bag,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 02,Yes,Dry
11280,SoKlin Softergent Sakura Deterjen Cair Botol 1 Liter,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
2700,SoKlin Softergent Sakura Deterjen Cair Pouch 720 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 09,Yes,Dry
20940,SoKlin Softergent Velvet Orchid Deterjen Bubuk Bag 1500 gram,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
12643,Suksesmie Goreng Ayam Kecap/Mie instan 129 gram,Kebutuhan Pokok,Mie Instant,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
12644,Suksesmie Goreng Ayam Kremes/Mie instan 112 gram,Kebutuhan Pokok,Mie Instant,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
20170,Suksesmie Isi 2 Mie Kuah Rasa Ayam Bawang 112 gram,Kebutuhan Pokok,Mie Instant,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
12753,Supersol Karbol Cemara Pouch Pembersih Lantai 1500 ml,Perawatan Rumah,Pembersih Lantai,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
12750,Supersol Karbol Cemara Pouch Pembersih Lantai 750 ml,Perawatan Rumah,Pembersih Lantai,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 10,Yes,Dry
27612,Supersol Karbol Sereh Pouch Pembersih Lantai 1500 ml,Perawatan Rumah,Pembersih Lantai,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
12832,Systema Nano Menthol Breeze Toothpaste  190 gram,Perawatan Mulut,Pasta Gigi,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 10,Yes,Dry
40443,Systema Nine Degree Reguler Soft Isi 3pcs 1 Pack,Perawatan Mulut,Sikat Gigi,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 10,Yes,Dry
20719,Systema Smart Clean Regular Soft Toothbrush 1 packs 1 Pack,Perawatan Mulut,Sikat Gigi,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
29636,Top Coffee Barista Special Blend Kopi Bubuk Instan 9 Pcs,Sarapan,Kopi (bubuk),QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
2234,Top Coffee Cappuccino 25gr x (6+3) sachet/Kopi Bubuk 225 gram,Sarapan,Kopi (bubuk),QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 09,Yes,Dry
2232,Top Coffee Gula Aren 3in1 Instant Coffee Bag 22gr x (6+3) sachet/Kopi Bubuk 198 gram,Sarapan,Kopi (bubuk),QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 10,Yes,Dry
31285,Top Coffee Kopi Instan Cappucino 25gr x 12+6 pcs,Sarapan,Kopi (bubuk),QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
13568,Top Coffee Kopi Susu 3 In 1 Pack 10 x 31gr 310 gram,Sarapan,Kopi (bubuk),QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
